gpsheading,gpsaltitude,gpslatitude,verticalaccuracy,horizontalaccuracy,timestamp,gpsspeed,gpslongitude
202.0,3.0,5.3207577963121366e-05,9.0,5.0,366.0283203125,3.0869140625,0.0438623207981692
221.0,2.0,5.2202277878166115e-05,9.0,5.0,367.037109375,1.7490234375,0.0438603991856041
156.0,2.0,5.475159224488379e-05,9.0,5.0,368.01904296875,0.154296875,0.0438677686600641
156.0,2.0,5.475159224488379e-05,9.0,5.0,369.0322265625,0.0,0.0438677686600641
156.0,2.0,5.475159224488379e-05,9.0,5.0,369.98291015625,0.0,0.0438677686600641
156.0,2.0,5.475159224488379e-05,9.0,5.0,370.98779296875,0.0,0.0438677686600641
156.0,2.0,5.475159224488379e-05,9.0,5.0,372.01513671875,0.0,0.0438677686600641
156.0,2.0,5.475159224488379e-05,9.0,8.0,372.986328125,0.0,0.0438677686600641
156.0,2.0,5.490696429433228e-05,9.0,8.0,373.97802734375,0.0,0.0438676843127296
156.0,2.0,5.490696429433228e-05,9.0,8.0,374.9755859375,0.0,0.0438676843127296
156.0,2.0,5.5418583514210695e-05,9.0,8.0,375.97607421875,0.0,0.0438674065682818
156.0,2.0,5.5418583514210695e-05,9.0,8.0,377.06103515625,0.0,0.0438674065682818
156.0,2.0,5.707466959847807e-05,9.0,8.0,377.978515625,0.0,0.0438665075233331
156.0,2.0,5.484160147517514e-05,9.0,8.0,378.99267578125,0.0,0.0438677197964381
156.0,2.0,5.484160147517514e-05,9.0,8.0,379.9794921875,0.0,0.0438677197964381
156.0,2.0,5.484160147517514e-05,9.0,8.0,381.0009765625,0.0,0.0438677197964381
156.0,2.0,5.484160147517514e-05,9.0,8.0,381.97802734375,0.0,0.0438677197964381
156.0,2.0,5.484160147517514e-05,9.0,8.0,382.9794921875,0.0,0.0438677197964381
156.0,2.0,5.484160147517514e-05,9.0,8.0,383.97900390625,0.0,0.0438677197964381
156.0,2.0,5.4708268969250184e-05,9.0,8.0,384.98046875,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,385.982421875,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,386.97998046875,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,387.982421875,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,388.98388671875,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,389.97998046875,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,390.97705078125,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,391.98486328125,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,392.97802734375,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,393.984375,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,394.9775390625,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,395.984375,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,396.97802734375,0.0,0.0438677921791423
156.0,2.0,5.4708268969250184e-05,9.0,8.0,397.978515625,0.0,0.0438677921791423
156.0,2.0,5.445655526870041e-05,9.0,8.0,398.97900390625,0.0,0.0438679288277654
156.0,2.0,5.445655526870041e-05,9.0,8.0,399.97900390625,0.0,0.0438679288277654
156.0,2.0,5.445655526870041e-05,9.0,8.0,400.98095703125,0.0,0.0438679288277654
156.0,2.0,5.709227948358375e-05,9.0,8.0,401.9765625,0.0,0.0438664979634069
156.0,2.0,5.4672501420327535e-05,9.0,8.0,402.9775390625,0.0,0.0438678115963995
156.0,2.0,5.4672501420327535e-05,9.0,8.0,403.97607421875,0.0,0.0438678115963995
156.0,2.0,5.461455408095617e-05,9.0,8.0,404.97705078125,0.0,0.043867843054457
156.0,2.0,5.444945867338902e-05,9.0,8.0,405.97705078125,0.0,0.0438679326803281
156.0,2.0,5.444945867338902e-05,9.0,8.0,406.97119140625,0.0,0.0438679326803281
156.0,2.0,5.444945867338902e-05,9.0,8.0,407.97314453125,0.0,0.0438679326803281
156.0,2.0,5.444945867338902e-05,9.0,8.0,408.97998046875,0.0,0.0438679326803281
156.0,2.0,5.444945867338902e-05,9.0,8.0,409.98046875,0.0,0.0438679326803281
156.0,2.0,5.444945867338902e-05,9.0,8.0,410.98046875,0.0,0.0438679326803281
156.0,2.0,5.5174847744865474e-05,9.0,8.0,411.97021484375,0.0,0.0438675388859479
156.0,2.0,5.5174847744865474e-05,9.0,8.0,412.97802734375,0.0,0.0438675388859479
156.0,2.0,5.5174847744865474e-05,9.0,8.0,413.97509765625,0.0,0.0438675388859479
156.0,2.0,5.661840616966174e-05,9.0,8.0,414.9755859375,0.0,0.0438667552165981
156.0,2.0,5.6281596428675584e-05,9.0,8.0,415.97216796875,0.0,0.0438669380615834
156.0,2.0,5.542751801357326e-05,9.0,8.0,416.982421875,0.0,0.0438674017180034
156.0,2.0,5.542751801357326e-05,9.0,8.0,417.98193359375,0.0,0.0438674017180034
156.0,2.0,5.542751801357326e-05,9.0,8.0,418.9775390625,0.0,0.0438674017180034
156.0,2.0,5.513047634053691e-05,9.0,8.0,419.97314453125,0.0,0.0438675629739719
156.0,2.0,5.589779132009198e-05,9.0,8.0,420.9775390625,0.0,0.0438671464191458
156.0,2.0,5.459767437798746e-05,9.0,8.0,421.96923828125,0.0,0.0438678522179571
156.0,2.0,5.6139422049739096e-05,9.0,8.0,423.05419921875,0.0,0.0438670152442597
156.0,2.0,5.506799683985264e-05,9.0,8.0,423.97509765625,0.0,0.04386759689244
